Treatment ,Symptoms ,Drugs,Side Effects,Dosage of Drug,Care Insturctions,Generic Linkage,Disease
Biopsy of Lymphatic Structure,"Swollen lymph nodes, fever, unexplained weight loss.",Depends on diagnosis: antibiotics or chemotherapy.,"Nausea, fatigue, drug-specific reactions.",As prescribed based on diagnosis.,"Rest, avoid infection risk post-procedure.",Lymphatic diseases may involve genetic mutations.,"Lymphoma, infections."
Subtotal Mastectomy,"Breast lump, pain, or cancer diagnosis.","Chemotherapy, hormonal therapy.","Hair loss, fatigue, hormonal changes.",Prescribed cycles or daily doses.,"Wound care, physiotherapy for arm mobility.",BRCA1/BRCA2 genetic links in breast cancer.,Breast cancer.
Stem Cell Transplantation,"Bone marrow failure, leukemia.","Immunosuppressants, antivirals.","Infections, organ damage, graft-versus-host disease.",Based on body weight and condition.,"Monitor for infection, hydration, immune support.",Related to genetic blood disorders.,"Blood cancers, aplastic anemia."
Open Reduction of Fracture,"Pain, swelling, immobility due to fracture.","Painkillers, anti-inflammatory drugs.","Drowsiness, nausea, dependency.",Typically 500–1000 mg painkillers as needed.,"Immobilize arm, physical therapy after healing.","Trauma-related, not genetic.",Fracture of humerus.
Extirpation of Femoral Vein Clot,"Swelling, pain due to blood clot.","Anticoagulants like heparin, warfarin.","Bleeding, bruising, dizziness.",Dose depends on INR monitoring.,"Avoid activities risking bleeding, regular INR checks.",Genetic factors like Factor V Leiden.,Deep vein thrombosis (DVT).
Closed Reduction of Fracture,"Severe pain, inability to bear weight.","Painkillers, calcium supplements.","Drowsiness, nausea, kidney effects (calcium).",As needed for pain and healing.,"Rest, avoid weight-bearing activities.","Trauma-related, not genetic.",Femoral fracture.
Drainage of Right Hip Joint,"Pain, swelling, infection signs in joint.",Antibiotics if infection is present.,"Allergic reactions, gastrointestinal upset.","Depends on infection severity, usually 7–14 days.","Avoid joint stress, monitor for reinfection.","Rarely genetic, depends on condition causing infection.",Joint infections or effusions.
Tunneled Vascular Access Device,"Need for long-term medication delivery (e.g., chemotherapy).",Not applicable (procedural).,"Pain, infection, bleeding at site.",Not applicable to procedure itself.,"Keep site clean, avoid strenuous activities.",None.,Cancer treatment or long-term medication.
Excision of Bone Lesion,"Pain, swelling, restricted movement, or mass in bone.","Painkillers, antibiotics if infection is suspected.","Nausea, drowsiness, allergic reactions.","Based on pain severity, typically 500–1000 mg as needed.",Avoid physical strain on affected bone; physiotherapy.,"Rarely genetic, linked to trauma or tumors.",Bone lesions or benign tumors.
Excision of Metatarsal Bone,"Pain, deformity, inability to walk properly.","Painkillers, antibiotics to prevent infection.","Drowsiness, nausea, gastrointestinal issues.","As needed for pain, antibiotics for 5–7 days.","Use supportive footwear, follow post-surgical rehab.",Rarely genetic unless linked to congenital deformities.,Metatarsal fractures or lesions.
Partial Ostectomy of Foot Bones,"Pain, deformity, restricted movement in foot.","Painkillers, anti-inflammatory drugs.","Drowsiness, stomach upset, dependency.",Typically 500 mg every 6–8 hours as needed.,"Rest, wear protective footwear, avoid weight-bearing activities.","Rarely genetic, linked to trauma or degenerative disease.","Bone spurs, osteoarthritis."
Toe Amputation,"Severe injury, gangrene, or infection in the toe.",Antibiotics post-surgery to prevent infection.,"Allergic reactions, gastrointestinal issues.","Based on infection severity, typically 7–14 days.","Keep surgical site clean, avoid pressure on the foot.",Linked to diabetes or peripheral vascular disease.,"Gangrene, severe infection."
Mandible Reposition with Fixation,"Jaw fracture, deformity, or misalignment.","Painkillers, antibiotics if infection risk is present.","Drowsiness, nausea, drug-specific effects.",Based on pain severity and infection risk.,"Avoid hard foods, maintain oral hygiene.","Rarely genetic, often trauma-related.",Mandibular fracture.
Maxilla Reposition with Fixation,"Facial injury, jaw misalignment, or deformity.","Painkillers, antibiotics if indicated.","Drowsiness, stomach upset.",Dosage based on pain level or infection risk.,"Avoid trauma to face, follow-up for device adjustment.","Rarely genetic, often trauma-related.",Maxillary fracture or misalignment.
Mandible Reposition with Fixation,"Jaw fracture, deformity.","Painkillers, antibiotics if infection is a concern.","Drowsiness, nausea, allergic reactions.",Based on medical guidance.,"Maintain oral hygiene, avoid hard foods.","Rarely genetic, often trauma-related.",Mandibular fracture.
Umbilical Hernia Repair,"Umbilical pain, swelling, visible bulge.",Painkillers post-surgery.,"Drowsiness, nausea.",Typically 500 mg every 6–8 hours as needed.,Avoid lifting heavy objects; maintain wound hygiene.,Congenital weakness in abdominal muscles.,Umbilical hernia.
Dental Lesion Excision,"Toothache, swelling, or mass in jaw.","Painkillers, antibiotics post-surgery.","Drowsiness, gastrointestinal upset.",As prescribed based on pain/infection severity.,"Maintain oral hygiene, avoid hard foods.","Rarely genetic, could be linked to dental infections.",Dental cysts or tumors.
Tooth Extraction,"Severe tooth decay, pain, or infection.","Painkillers, antibiotics if infection is present.","Nausea, drowsiness, allergic reactions.","Based on condition, typically 7–10 days of antibiotics.","Maintain oral hygiene, avoid hard or sticky foods.","Rarely genetic, linked to poor dental hygiene.",Tooth decay or dental infection.
"Topical treatments (steroids, vitamin D analogs), phototherapy, systemic medications","Red, scaly patches on skin, often on elbows, knees, scalp","Hydrocortisone, Calcipotriene, Humira","Skin thinning (steroids), infection risk (biologics)","Apply daily (topical), inject weekly (biologics)","Moisturize, use prescribed treatments, and try light therapy or medications if needed.","Genetic link to immune system genes, like HLA-Cw6",Psoriasis
"Pain relievers, anti-nausea medications, triptans for acute migraine","Severe headache, nausea, vomiting, sensitivity to light and sound","Medications for migraines include triptans (e.g., Sumatriptan, Rizatriptan), pain relievers (e.g., aspirin, acetaminophen), and caffeine combinations","Medication-overuse headaches, where pain relief stops and causes more headaches, creating a cycle of overuse.","Triptans (9 days/month), aspirin or ibuprofen (14 days/month), and acetaminophen should be used sparingly to avoid medication-overuse headaches.","For migraines, take medicine early, rest in a dark room, and stay hydrated. Manage stress, avoid triggers, and maintain a regular routine. Consider weight loss, hormone therapy, or preventive medications as advised by your doctor.","Migraines are more likely if you have a family history, are female, experience hormonal changes, or are in your adolescence or 30s",Migraine
Surgical removal of the gallbladder (cholecystectomy) is the most common treatment for symptomatic gallstones.,"Severe abdominal pain, nausea, vomiting, jaundice",Ursodeoxycholic acid (for dissolving small stones) or pain relievers for symptom management.,"Ursodeoxycholic acid may cause diarrhea, abdominal pain, or nausea.","Ursodeoxycholic acid: 10-15 mg/kg/day, divided into 2-3 doses","Follow a low-fat diet, avoid large meals, and stay hydrated to prevent symptoms.","Gallstones may be influenced by family history, obesity, diabetes, and other genetic predispositions.",Gallstones (Cholelithiasis)
"Strict, lifelong gluten-free diet to manage symptoms and prevent complications.","Diarrhea, weight loss, fatigue, bloating, nutrient deficiencies","No specific drugs; however, corticosteroids or immunosuppressants may be used for severe inflammation or complications.","Corticosteroids can cause weight gain, high blood pressure, osteoporosis, mood swings, and increased infection risk.","Corticosteroids (dose varies based on condition severity, typically 20-40 mg of prednisone daily for short periods).","Avoid foods containing gluten (wheat, barley, rye), read labels carefully, and ensure a balanced diet to avoid nutrient deficiencies", Celiac disease is strongly linked to specific genetic markers (HLA-DQ2 or HLA-DQ8). Family history increases the risk.,Celiac Disease
"Iron supplementation, vitamin B12, folic acid, blood transfusions in severe cases, and treatment of underlying causes.","Fatigue, pale skin, dizziness, shortness of breath"," Iron supplements (e.g., ferrous sulfate), vitamin B12 injections, folic acid supplements.","Iron supplements may cause constipation, stomach upset; B12 injections can cause pain at the injection site; folic acid may cause nausea.","Iron sulfate (325 mg 1-3 times daily); vitamin B12 (1000 mcg once a week or monthly, depending on the type); folic acid (1 mg daily).","Follow prescribed diet (iron-rich foods), avoid excessive alcohol, and manage underlying conditions like chronic diseases.","Genetic conditions like sickle cell anemia, thalassemia, or hereditary spherocytosis can cause anemia.",Anemia
"Antiviral medications, lifestyle modifications (e.g., alcohol avoidance), and liver transplant for advanced cases.","Jaundice, abdominal swelling, fatigue, nausea, weight loss","Antiviral drugs (e.g., sofosbuvir, entecavir), diuretics for ascites, corticosteroids for inflammation.","Antivirals may cause fatigue, headache; diuretics may cause dehydration, potassium imbalance; corticosteroids may cause weight gain, osteoporosis.","Sofosbuvir (400 mg daily); entecavir (0.5 mg daily); diuretics (spironolactone, 25-200 mg daily).","Avoid alcohol, follow a healthy diet, manage underlying conditions (e.g., diabetes), and monitor liver function regularly.","Family history of liver diseases (e.g., cirrhosis, hepatitis) may increase risk, with genetic variations affecting susceptibility to chronic hepatitis.","Liver Disease (Cirrhosis, Hepatitis)"
"Atopic dermatitis treatment includes moisturizing, avoiding triggers, and using topical steroids or immunomodulators.","Itchy, inflamed, red patches on skin, often on the face, elbows, or knees","Topical steroids (hydrocortisone), immunomodulators (tacrolimus), antihistamines, and antibiotics for infection",Steroids can cause skin thinning; immunomodulators may increase infection risk; antihistamines can cause drowsiness,"Apply topical steroids as prescribed, typically once or twice daily, and antihistamines as directed.","Use gentle cleansers, apply moisturizers regularly, avoid allergens, and keep nails short to prevent scratching.","Atopic dermatitis has a genetic component, often linked to mutations in the skin barrier genes like FLG, and a family history of eczema, asthma, or allergie",Eczema (Atopic Dermatitis)
"Rest, pain relievers (acetaminophen, ibuprofen), muscle relaxants, physical therapy, epidural steroid injections, and surgery for severe cases.","Back pain, leg pain, numbness, weakness","Acetaminophen, ibuprofen, steroids (for injections).","Upset stomach, dizziness, allergic reactions, muscle weakness.",Ibuprofen (200-400 mg every 4-6 hours as needed).,"Maintain good posture, avoid repetitive movements, strengthen back muscles, use proper lifting techniques"," Age-related, family history, and lifestyle factors like lifting and repetitive motions can increase the risk.",Herniated Disc (Slipped Disc)
"Medications (acetaminophen, ibuprofen), wrist splints, corticosteroid injections, and surgery (carpal tunnel release) for severe cases.","Numbness, tingling, pain in the hand or wrist, difficulty gripping objects","Acetaminophen, ibuprofen, naproxen, corticosteroids."," Upset stomach, dizziness, allergic reactions.",Ibuprofen (200-400 mg every 4-6 hours as needed).,"Rest wrist, use splints, take regular breaks from repetitive tasks, and keep wrists in a natural position."," Genetic predisposition (family history increases risk), hormonal changes like pregnancy and menopause.",Carpal Tunnel Syndrome
"Antibiotics like doxycycline or amoxicillin, typically administered early to prevent complications.","Fever, fatigue, headache, bullseye-shaped rash, muscle pain"," Doxycycline, amoxicillin, cefuroxime.","Nausea, diarrhea, rash, sun sensitivity","Doxycycline (100 mg twice daily for 10-21 days), Amoxicillin (500 mg three times daily for 14-21 days).","Rest, stay hydrated, monitor symptoms, and complete the full course of antibiotics.",no significant genetic linkage established;,Lyme Disease
"Avoid triggers, use short-term relief medicines (inhalers), and control medicines to reduce inflammation. ","Shortness of breath, wheezing, coughing, chest tightness","Bronchodilators (e.g., albuterol), inhaled corticosteroids (e.g., fluticasone), leukotriene modifiers (e.g., montelukast).","Oral thrush (from inhaled corticosteroids), increased heart rate (from bronchodilators), headache, dry mouth","As prescribed, typically inhalers used as needed for quick relief, daily controllers as prescribed.","Avoid allergens, exercise in warm, humid air, avoid smoking or secondhand smoke exposure, and manage stress.",Family history and genetic factors play a role in increased asthma risk.,Asthma
"Lifestyle changes, antacids, H2 blockers, or proton pump inhibitors (PPIs).","Heartburn, regurgitation, chest pain, difficulty swallowing","Antacids, PPIs (e.g., omeprazole), H2 blockers (e.g., ranitidine).","Nausea, headache, diarrhea, long-term PPI use may affect bone health.","As prescribed, typically once daily for PPIs before meals.","Eat smaller meals, avoid lying down after eating, avoid trigger foods, elevate head while sleeping.","Family history may increase susceptibility, but lifestyle factors play a key role.",Acid Reflux (Gastroesophageal Reflux Disease - GERD)
"Therapy (CBT), medications (antidepressants/anti-anxiety), or a mix of both.","Excessive worry, restlessness, irritability, rapid heartbeat","Antidepressants (e.g., SSRIs), anti-anxiety medications (e.g., benzodiazepines).","Nausea, fatigue, dizziness, dependency (for benzodiazepines)."," Individualized per doctor’s prescription, typically daily for antidepressants.","Practice stress management, mindfulness, and maintain regular therapy sessions.",Tends to run in families but influenced by environment and brain chemistry.,Anxiety Disorder
"Psychotherapy, medications, lifestyle changes, and stress management.","Persistent sadness, loss of interest, fatigue, changes in sleep or appetite","SSRIs (e.g., sertraline), SNRIs (e.g., duloxetine), atypical antidepressants","Nausea, drowsiness, weight changes, sexual dysfunction, or dry mouth.","As prescribed, often daily; dosage depends on severity and response."," Maintain a routine, seek support, stay active, and follow therapy or medication plans.",Genetic predisposition linked to family history of depression.,Depression
"Manage blood sugar with diet, exercise, and medication if required.","Increased thirst, frequent urination, unexplained weight loss, fatigue","Metformin, Sulfonylureas, Insulin (if needed).","Nausea, diarrhea, low blood sugar (hypoglycemia), weight gain (with some drugs).","As prescribed by a healthcare provider, typically daily or with meals."," Follow a balanced diet, exercise regularly, monitor blood sugar, and maintain a healthy weight.",Strong familial history increases risk; genetic predisposition plays a key role.,Diabetes (Type 2)
"Lifestyle changes (low salt diet, exercise, no smoking) and medication if needed.","Often asymptomatic, but may cause headaches or dizziness","ACE inhibitors, beta-blockers, diuretics, calcium channel blockers.","Dizziness, fatigue, dry cough, electrolyte imbalance.","As prescribed by a doctor, typically daily.","Monitor BP regularly, maintain healthy weight, reduce stress, limit alcohol",Runs in families; linked to genes affecting blood pressure regulation.,Hypertension (High Blood Pressure)
"Antibiotics (for bacterial pneumonia), antiviral drugs (for viral pneumonia), oxygen therapy, and supportive care like hydration and rest.","Cough, fever, shortness of breath, chest pain, fatigue","Amoxicillin, azithromycin, or levofloxacin for bacterial pneumonia; oseltamivir for viral pneumonia.","Antibiotics (nausea, diarrhea, allergic reactions), antivirals (headache, nausea)."," Amoxicillin (500 mg every 8 hours), azithromycin (500 mg on day 1, then 250 mg daily for 4 days).","Stay hydrated, rest, avoid smoking, follow prescribed medications, and use a humidifier to ease breathing",No direct genetic linkage;,Pneumonia
"Physical activity, weight management, NSAIDs, corticosteroid injections, braces, or surgery (joint replacement in severe cases)","Joint pain, stiffness, swelling, decreased range of motion","NSAIDs (ibuprofen, naproxen), acetaminophen, hyaluronic acid injections, topical NSAIDs, glucosamine supplements","NSAIDs (stomach ulcers, kidney damage), corticosteroids (bone thinning, weight gain), acetaminophen (liver damage if overused)."," Ibuprofen (200-400 mg every 4-6 hours), acetaminophen (500-1000 mg every 6 hours, max 4000 mg/day).","Maintain a healthy weight, avoid repetitive stress on joints, use support devices (cane/walkers), and stay active with low-impact exercises.",family history and genetic changes affecting cartilage or joint repair increase risk.,Osteoarthritis
"Medications like NSAIDs, colchicine, and corticosteroids for pain; uric acid-lowering drugs like allopurinol; lifestyle modifications.","Intense joint pain, swelling, redness (often in the big toe)"," NSAIDs (ibuprofen), colchicine, allopurinol, febuxostat, probenecid.","NSAIDs (stomach ulcers, kidney issues), colchicine (diarrhea, nausea), allopurinol (rash, liver issues)","allopurinol (100-300 mg/day), colchicine (1.2 mg at flare onset, then 0.6 mg after an hour).","Limit alcohol, avoid purine-rich foods, maintain a healthy weight, and monitor uric acid levels.","Genetic factors, such as mutations in uric acid metabolism genes, can increase the risk of gout.",Gout
"Antiviral medications (e.g., acyclovir, valacyclovir) to reduce severity and duration; pain relief with analgesics.","Pain, burning, tingling, rash that forms blisters","Acyclovir, valacyclovir, famciclovir for antivirals; analgesics for pain relief","Nausea, headache, diarrhea, dizziness, and rare kidney issues.","Acyclovir: 800 mg five times daily for 7-10 days; Valacyclovir: 1,000 mg three times daily for 7 days","Keep the rash covered, avoid scratching, and maintain good hygiene; cool compresses and oatmeal baths to soothe the skin.",No generic linkage,Shingles (Herpes Zoster)
"Antibiotics , pain relievers like phenazopyridine for discomfort.","Painful urination, frequent urge to urinate, cloudy urine"," Antibiotics (e.g., trimethoprim-sulfamethoxazole, ciprofloxacin), phenazopyridine for pain relief."," Antibiotics may cause stomach upset, diarrhea, or yeast infections; phenazopyridine can cause red/orange urine, headaches.","Antibiotics for 1–14 days depending on the case, phenazopyridine as directed (usually 2-3 times daily","Finish all prescribed antibiotics, drink plenty of water, avoid holding urine for long, and maintain good hygiene.","No strong genetic link,",Urinary Tract Infection (Cystitis)
"Physical therapy, pain management (NSAIDs, corticosteroid injections), surgery (joint replacement or fusion) in severe cases.","Joint stiffness, pain, reduced mobility","NSAIDs (ibuprofen, naproxen), corticosteroids (prednisone), disease-modifying antirheumatic drugs (DMARDs) for underlying conditions."," NSAIDs can cause gastrointestinal issues, kidney damage; corticosteroids may cause weight gain, osteoporosis, and immune suppression; DMARDs can lead to liver damage or bone marrow suppression.","NSAIDs as needed for pain, corticosteroids as per prescription, DMARDs are typically taken daily or weekly depending on the type.                   ","Regular joint exercises, avoid overexertion, maintain joint mobility, and follow prescribed rehabilitation programs.",genetic factor links to it,Stiff Joint (Ankylosis)
"Lifestyle changes (diet, exercise), medications (statins, fibrates, PCSK9 inhibitors), and managing underlying conditions (diabetes, high blood pressure).",Often asymptomatic until advanced stages,"Statins (atorvastatin, simvastatin), fibrates (fenofibrate), PCSK9 inhibitors (alirocumab), bile acid sequestrants (cholestyramine).","Statins may cause muscle pain, liver enzyme changes, and digestive issues; fibrates can cause stomach upset and liver issues; PCSK9 inhibitors may cause injection site reactions",Statins typically taken once daily in the evening; fibrates and PCSK9 inhibitors vary by prescription.,"Eat a heart-healthy diet, exercise regularly, avoid smoking and excessive alcohol, monitor cholesterol levels regularly.","Genetic factors play a significant role in hyperlipidaemia, with familial hypercholesterolemia being an inherited condition causing high cholesterol.",High Cholesterol (Hyperlipidaemia)
" Includes avoiding allergens, using medications (nasal corticosteroids, antihistamines), and immunotherapy (allergy shots or tablets).","Sneezing, itchy eyes, runny nose, coughing","Nasal corticosteroids, antihistamines, decongestants, leukotriene inhibitors, and immunotherapy (shots or tablets).","Common side effects include dry mouth, dizziness, drowsiness (for antihistamines), nasal irritation (for sprays), and potential weight gain (for corticosteroids",Varies based on the drug and individual. Nasal sprays are typically used once or twice daily; antihistamines as directed by a doctor,"Limit exposure to allergens, maintain clean living spaces, and follow prescribed medication schedules","Allergic rhinitis often runs in families, suggesting a genetic predisposition to developing allergies.",Hay Fever (Allergic Rhinitis)
"GERD can be managed with lifestyle changes, over-the-counter medicines, and occasionally surgery","Heartburn, regurgitation, difficulty swallowing","Proton pump inhibitors (PPIs), H2 blockers, antacids","headache, nausea, abdominal pain; H2 blockers: dizziness, constipation.","PPIs like Omeprazole (20 mg daily), H2 blockers like Ranitidine (150 mg twice a day)","Avoid trigger foods, eat smaller meals, avoid eating late, lose weight, and wear loose clothing.","GERD may have a genetic component, with higher risk in families with a history of the condition.",Gastro-oesophageal Reflux Disease (GERD)
Hormone replacement therapy with synthetic thyroid hormone (levothyroxine) to restore normal thyroid hormone levels.,"Fatigue, weight gain, depression, constipation","Levothyroxine (Synthroid, Euthyrox, Eltroxin).","Possible side effects include weight loss, increased appetite, heat intolerance, sweating, nervousness, and heart palpitations","Dose varies by individual but typically starts at 25-50 mcg daily, adjusted based on blood test result",Take the medication daily as prescribed; avoid iodine-rich foods and supplements unless instructed by the doctor; regular monitoring of thyroid hormone levels is necessary.,Common in individuals with a family history of thyroid disorders; also associated with autoimmune conditions like Hashimoto's thyroiditi,Hypothyroidism (Underactive Thyroid)
" Smoking cessation, bronchodilators, steroids, oxygen therapy, and pulmonary rehabilitation","Persistent cough, mucus production, shortness of breath","Bronchodilators (e.g., albuterol), steroids (e.g., fluticasone), antibiotics (if infection occurs).","Bronchodilators – tremors, increased heart rate; Steroids – sore throat, oral thrush; Antibiotics – stomach upset, allergic reactions.","Albuterol (90 mcg per puff, 2 puffs every 4-6 hours); Fluticasone (1-2 inhalations twice daily); Antibiotics based on infection type.","Avoid irritants like smoke, pollution, and chemicals; follow prescribed treatment; engage in physical activities; get vaccinated.","Alpha-1 antitrypsin deficiency can increase risk, especially in smokers",Chronic Bronchitis
"Rest, ice, compression, elevation (R.I.C.E.), pain relief medications, and physical therap","Pain, swelling, bruising, limited range of motion",Ibuprofen or acetaminophen for pain and swelling,"Ibuprofen – stomach upset, ulcers; Acetaminophen – liver damage if overdosed.",Ibuprofen (200–400 mg every 4–6 hours); Acetaminophen (325–650 mg every 4–6 hours).,"Rest the injured area, apply ice, use an elastic bandage, elevate the area, and avoid weight-bearing activities for 2–3 days",No significant genetic linkage,Sprain (Ligament Injury)
" Use clinical-strength antiperspirants, oral medications, iontophoresis, Botox injections, or surgery for severe cases",Excessive sweating in normal situations,"Glycopyrrolate, oxybutynin.","Dry mouth, blurred vision, urinary retention, constipation.",As prescribed by the doctor.,"Avoid triggers, wear loose clothing, use antiperspirants, and keep the environment cool.",Yes it’s a genetic disease ,Excessive Sweating (Hyperhidrosis)
"Soak the foot in warm water, trim nails straight across, avoid tight shoes, and consult a doctor for severe cases.","Pain, swelling, redness around the toenail",Antibiotics (if infection occurs),"Common side effects of antibiotics can include nausea, diarrhea, or allergic reactions.",Varies by infection severity (as prescribed by the provider,"Keep the foot clean, dry, and elevated; change dressings as instructed; avoid pressure on the toe.",o significant genetic linkage; factors such as nail shape and foot deformities can contribute.,Ingrown Toenail (Onychocryptosis)
"Headaches are treated with pain relievers like acetaminophen, ibuprofen, or specific medications depending on the type (e.g., triptans for migraines).","Head pain, dizziness, sensitivity to light, blurred vision, nausea","Acetaminophen, ibuprofen, triptans (for migraines), NSAIDs.","Acetaminophen (liver damage if overdosed), ibuprofen (stomach ulcers, kidney issues), triptans (dizziness, nausea)",Acetaminophen (500-1000 mg every 4-6 hours); Ibuprofen (200-400 mg every 4-6 hours); triptans as prescribed.,"Ensure rest in a quiet, dark environment; maintain hydration; avoid triggers; follow medication instructions and avoid overuse.",Can have genetic factor,Headache (Cephalalgia)
" Rhinovirus infections are usually self-limiting, with supportive care including rest, fluids, and acetaminophen for fever. No antiviral medications are needed","Runny nose, sore throat, cough, congestion",Acetaminophen (for fever); no antiviral drugs are used.,"Acetaminophen may cause liver damage if overdosed, so follow recommended dosages.",Follow recommended dosage for acetaminophen (usually 10–15 mg/kg every 4-6 hours as needed for fever).,"Encourage rest, hydration, and use of fever-reducing medicine like acetaminophen as needed. Avoid over-the-counter cold medicines without doctor's advice.",No known genetic linkage,Common Cold (Rhinovirus)
"Swimmer's ear is typically treated with antibiotic ear drops for 10–14 days, with possible use of corticosteroids, pain medication, and vinegar ear drops.","Ear pain, itching, redness, discharge","Antibiotics (for bacterial infection), corticosteroids (for inflammation), pain relief (acetaminophen or ibuprofen), vinegar (acetic acid) ear drops."," Antibiotics may cause irritation or allergic reactions; corticosteroids may cause skin thinning, and vinegar drops can cause mild stinging.",Follow the prescribed doses for antibiotics and corticosteroids. Pain medicine as per label instructions. Vinegar drops as recommended.,"Keep ears clean and dry, avoid inserting objects, and use earplugs while swimming. Dry ears thoroughly after they get wet.",No strong genetic link,Swimmer’s Ear (Otitis Externa)
"Viral pink eye usually resolves in 1-2 weeks. Bacterial pink eye may require antibiotics, allergic pink eye can be treated with antihistamines or allergy drops, and irritation can be alleviated by flushing the eye.","Red, itchy eyes, discharge, swelling","Antibiotics are prescribed for bacterial conjunctivitis, while antihistamines or allergy drops are used for allergic conjunctivitis.","Antibiotics may cause irritation or allergic reactions, while antihistamines can lead to dry eyes and temporary blurred vision.",Antibiotics are typically 1-2 drops per day for a few days. Antihistamines should be used as per label or doctor's instructions,"Wash hands frequently, avoid touching eyes, and don't share personal items. Use cold compresses, follow prescribed medications, and stay home to prevent spreading.",No strong genetic link for most pink eye cases,Pink Eye (Conjunctivitis)
"Symptomatic relief through warm saltwater gargles, acetaminophen or ibuprofen, and anti-inflammatory drugs (e.g., prednisone for severe cases).","Painful, scratchy throat, difficulty swallowing","Acetaminophen, ibuprofen, prednisone (for severe cases)"," Acetaminophen - liver damage (with overuse); ibuprofen - gastrointestinal issues, kidney problems; prednisone - weight gain, mood changes, high blood sugar.",Follow prescribed doses; typical dose for acetaminophen is 500-1000 mg every 4-6 hours; ibuprofen is 200-400 mg every 4-6 hours,"Rest, drink fluids, avoid irritants, and avoid antibiotics for viral causes.",No strong genetic linkage for viral pharyngitis.,Sore Throat (Pharyngitis)
"Cough medicines (suppressants, expectorants, mucolytics, natural remedies) for dry or productive coughs.","Persistent cough, chest discomfort, difficulty breathing","Dextromethorphan, Benzonatate, Codeine, Guaifenesin, Bromhexine, Honey, Licorice.","Drowsiness, dizziness, nausea, constipation"," Dextromethorphan (10-20 mg), Guaifenesin (200-400 mg), Codeine (15-60 mg).","Rest, drink plenty of fluids, avoid alcohol, keep the environment smoke and vape-free, and wash hands frequently. For severe, persistent, or worsening cough, consult a doctor","No significant genetic link, environmental factors are more common causes.",Cough (Tussis)
"Fever is typically managed with rest, hydration, and medications like acetaminophen or ibuprofen to reduce fever and ease discomfor","Elevated body temperature, chills, fatigue, sweating","Acetaminophen (Tylenol), ibuprofen (Advil, Motrin), aspirin (for adults)."," Acetaminophen (liver damage with overuse), ibuprofen (stomach irritation, kidney issues), aspirin (risk of Reye's syndrome in children, stomach bleeding).","Acetaminophen every 4-6 hours, ibuprofen every 6-8 hours (follow weight-based dosage instructions), aspirin (adults only, follow dosage guidelines).","Ensure plenty of fluid intake, dress lightly, and avoid bundling up. Use lukewarm baths to cool down the body. Rest and monitor for other symptoms",Fever itself is not genetic but can be triggered by genetic conditions like autoimmune diseases or specific infections that run in families,Fever (Pyrexia)
"Rehydrate with fluids and electrolytes, rest, and use probiotics; medications for nausea, vomiting, antibiotics for bacterial types, or antiparasitic medicines for parasitic types","Diarrhea, vomiting, abdominal cramps, fever","Probiotics, anti-nausea/vomiting medications, antibiotics (for bacterial gastroenteritis), antiparasitic drugs (for parasitic gastroenteritis).","Possible side effects of antibiotics include nausea, diarrhea, and allergic reactions. Antiparasitic drugs may cause stomach upset or headache",Probiotics and anti-nausea meds should be taken as per the doctor's recommendation. Antibiotics and antiparasitic drugs depend on the causative organism and should be prescribed by a doctor.,"Maintain hydration, avoid contaminated food, wash hands frequently, and disinfect surfaces.","Possible side effects of antibiotics include nausea, diarrhea, and allergic reactions. Antiparasitic drugs may cause stomach upset or headache",Stomach Flu (Gastroenteritis)
"Ice packs, elevation, pain relievers","Discoloration, swelling, pain",Acetaminophen (for pain relief),Overuse of acetaminophen can lead to liver damage,Follow the label instructions for acetaminophen,"Apply a cold compress for 15-20 minutes, raise the bruised area, use pain medicine like acetaminophen, wrap the bruise if swollen, and use warmth after 48 hours to aid healing.",Some people bruise more easily due to genetics or conditions like bleeding disorders.,Bruise (Contusion)
"Pain relief medications, heating pads, exercise","Abdominal cramping, lower back pain, nausea, fatigue","NSAIDs (ibuprofen, naproxen), hormonal birth control (pill, patch, IUD), prescription pain relievers.","Stomach issues (ulcers, bleeding), liver problems, allergic reactions (NSAIDs).", Ibuprofen or naproxen as per label instructions; hormonal treatments per doctor's prescription.,"Use a heating pad, exercise, take warm baths, and practice relaxation techniques. NSAIDs like ibuprofen or naproxen can help, but consult a healthcare provider before use.","an have a genetic component, especially for conditions like endometriosis or fibroids.",Menstrual Cramps (Dysmenorrhea)
"Pain management, hormonal therapy","Vaginal bleeding, pelvic pain","Progestin therapy, IUD","Headaches, mood changes, weight gain",10 mg daily for progestin,"Monitor menstrual cycle, avoid heavy lifting","Family history, genetic mutations",Endometrial Cancer
"Hormonal therapy, surgery","Excessive menstrual bleeding, pain",Hormonal contraceptives (birth control),"Nausea, blood clots, mood changes",1 tablet daily,"Regular screening, monitor for blood clot signs","Family history, genetic mutations",Endometrial Hyperplasia
"Pain relief, surgery","Vaginal pain, pain during intercourse",None,N/A,N/A,"Avoid stress, pelvic rest, follow up if symptoms worsen","Genetic predisposition, HPV-related",Vulvodynia
"Hormonal therapy, antibiotics","Lower back pain, vaginal bleeding","Progesterone, antibiotics","Fatigue, dizziness, nausea",10-20 mg daily for progesterone,"Take as directed, avoid stress, monitor symptoms",Family history of uterine issues,Uterine Cancer
